Listado actualizado a la fecha 12-10-2025 08:58:50 pm,,,
ARTICULO,CODIGO,STOCK,PRECIO
Cafe Saquito La Virginia 5g,7790150079904,38,5500
Cafe sobre 5g La Virginia,37,20,160
Cafe Torrado 125g La Virginia,7790150006306,9,3400
Caf� Molido en saquitos Puro Aroma 7g,7790150080146,10,5800
CAJA BON O BON BLANCO X30uni.,7790580119058,11,15000
caja bon bon scocces,7798183770256,1,5000
CAJA BON O BON COCO X18uni.,7790580146368,9,8000
Caja Medallon Aguila 2 Sabores Menta Cacao 160g,7790580139872,2,14000
caja vino viñas riojanas,7790265000275,-2055,2200
Caldo Mix d Sabores Pollo,7794000009172,3,1700
